code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi,chg60,drawdown,ma20,chg20,chg5,n,score
601677,明泰铝业,17.39,2.96,2.17779,11.219,1.091,216.2082400353,216.2082400353,4.68269803,-3.485714285714281,-14.263959390862935,16.252000000000002,10.464355788096814,0.2969121140142583,70.0,99.0
600096,云天化,30.14,0.133,1.88218,10.657,2.109,549.4494063233999,549.4494063233999,10.4709031,-15.568022440392703,-17.938931297709914,29.052,10.377704437110392,0.7700033478406532,70.0,96.0
000933,神火股份,27.25,1.565,2.31253,15.055,2.214,612.8536987274999,612.4626775775,14.17713657,-16.75457648153894,-18.819969742813914,25.342499999999998,14.218816517667099,2.9152282316839306,70.0,95.4
000612,焦作万方,11.7,1.739,2.60375,13.029,1.81,139.487329098,139.487329098,3.61132146,-10.71428571428572,-15.997078159240319,10.876,14.88511488511488,3.6970243462578933,70.0,95.4
600309,万华化学,77.99,2.998,1.32066,19.546,2.192,2441.4548211174,2441.4548211174,32.21770257,-15.377738042020573,-16.192584394023235,73.00050000000002,10.202299519720581,1.6239430948865818,70.0,92.4
002648,卫星化学,26.36,2.25,1.39014,16.684,2.505,887.975003884,887.404783046,12.36615456,-11.10344827586206,-12.905405405405402,24.434499999999996,13.668430335097014,1.5360378101614724,70.0,92.4
000807,云铝股份,27.81,2.506,2.34649,15.891,2.705,964.4389543305,964.4288581881,22.56992891,-16.49738381040321,-18.08574879227053,25.824,17.19222462203025,1.915852742299018,70.0,90.9
002532,天山铝业,13.92,2.731,2.05917,13.257,2.057,644.320248168,571.6745573184,11.72222879,-19.297200714711128,-21.90201729106629,12.739,21.30707251566697,2.6515151515151603,70.0,90.9
002539,云图控股,12.79,3.731,2.7499,18.536,1.59,154.4678691598,113.80460463749999,3.12407288,-17.964071856287422,-20.5541237113402,11.076,20.763956904995084,2.238805970149249,70.0,90.9
000582,北部湾港,13.09,4.553,2.07594,29.416,1.614,329.486358432,282.3314323907,5.71811294,12.387791741472153,-16.02951039570758,11.905,12.186379928315416,0.8863819500402936,70.0,90.6
002237,恒邦股份,14.7,3.158,2.79643,27.222,1.56,210.205649976,175.276333176,4.82400088,-10.433689503456945,-16.861143523920653,13.0495,10.981308411214963,6.263982102908283,70.0,90.6
002698,博实股份,13.62,-0.439,3.76392,24.558,3.296,139.272886515,114.97163986500001,4.35849013,6.708268330733236,-9.762532981530347,12.725,9.527622097678146,2.0895522388059584,70.0,90.6
600196,复星医药,24.14,1.642,2.12841,19.008,1.312,644.6416390549999,511.403202355,10.91625884,-6.126482213438733,-6.4592359196534055,23.470000000000002,1.279317697228155,2.238484718037026,70.0,89.4
600216,浙江医药,12.41,1.141,2.54036,13.637,1.062,119.33924477500001,118.06743384750001,3.01301429,-16.016427104722798,-16.53061224489796,12.135,3.7193575655114053,1.3212221304706784,70.0,89.4
002517,恺英网络,18.19,1.45,2.86593,20.438,3.753,388.6190242646,343.6248658187,9.70747842,3.641618497109822,-5.082053996823721,16.688,5.969267139479895,4.304828388598003,70.0,88.8
000878,云南铜业,17.2,-0.116,2.44239,29.866,2.264,417.13165488,344.62277932,8.34755094,-9.511297950604325,-16.731141199226307,15.52,12.992125984251967,8.849557522123884,70.0,88.6
002432,九安医疗,72.14,-0.661,7.50087,13.796,1.555,336.0958457534,335.647451648,25.68931526,-3.0570017354158208,-20.70321030792749,69.59850000000002,23.50340136054423,6.076541045866213,70.0,87.9
601600,中国铝业,10.01,1.624,1.49674,13.527,2.129,1717.2126298326998,1321.6543244905001,19.75971789,-15.523156089193824,-18.86326194398683,9.286,17.964071856287433,2.925809822361547,70.0,87.9
600219,南山铝业,4.99,3.099,1.73014,12.171,1.125,573.0367077941,573.0367077941,9.79358125,-8.50661625708885,-14.7887323943662,4.4479999999999995,18.627450980392158,2.5423728813559254,70.0,87.9
000338,潍柴动力,32.01,6.169,1.92145,25.205,2.9,2765.7346207821,1586.5412530143,29.77841556,0.2327127659574435,-14.68590831918507,27.348499999999994,9.35799782372142,7.871198568872995,70.0,87.6
601233,桐昆股份,24.24,2.886,1.39569,28.186,1.434,576.669961176,575.620546128,8.00893976,12.404580152671741,-4.227642276422772,21.688000000000002,14.036786060019345,5.178571428571432,70.0,87.6
600256,广汇能源,5.78,1.94,1.44234,27.896,1.514,369.4577713192,369.4577713192,5.33313203,-12.769230769230766,-16.000000000000004,5.4635,8.413001912045882,4.036697247706411,70.0,87.6
002603,以岭药业,16.87,-0.706,1.68839,21.909,2.473,281.8479969312,232.22128310079998,3.94415872,-0.1762632197414904,-4.227733934611044,16.857499999999998,9.542230818826546,0.5920663114268754,70.0,87.6
600546,山煤国际,13.28,1.997,1.22685,22.508,1.576,263.270175392,263.270175392,3.20815202,-3.9114391143911575,-14.734774066797641,12.475500000000002,10.526315789473696,3.0878859857482066,70.0,87.6
000596,古井贡酒,96.48,5.224,2.35973,14.379,1.952,509.99327999999997,394.21727999999996,9.21550241,-13.986866791744834,-15.996335318369226,90.1555,14.914149642812369,-3.433385992627702,70.0,87.4
