code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi
000596,古井贡酒,96.48,5.224,2.35973,14.379,1.952,509.99327999999997,394.21727999999996,9.21550241
600737,中粮糖业,13.97,3.252,3.03485,31.414,2.569,298.7970974516,298.7970974516,9.13484807
603328,依顿电子,11.51,6.083,7.51939,24.7,2.655,114.9207445261,114.9207445261,8.76565178
001696,宗申动力,16.15,1.572,6.17973,27.787,3.327,184.92184758,143.95869365000001,8.71532326
600909,华安证券,8.21,0.0,2.10616,18.244,1.564,412.4875817238,412.4875817238,8.71269835
600531,豫光金铅,13.87,2.135,5.1213,17.557,2.361,167.7247362126,167.7247362126,8.52288314
600595,中孚实业,6.74,1.659,3.11403,16.85,1.476,270.1328046836,270.1328046836,8.43323656
002340,格林美,6.93,1.316,2.37641,22.355,1.621,353.5935245073,351.7655444226,8.36062765
000878,云南铜业,17.2,-0.116,2.44239,29.866,2.264,417.13165488,344.62277932,8.34755094
000034,神州数码,24.27,-3.422,3.95161,31.475,2.198,246.7627162101,206.0881812534,8.19289414
600363,联创光电,20.52,-10.0,8.61859,19.358,2.04,92.52230994,92.52230994,8.1445596
600459,贵研铂业,21.73,3.427,4.94594,25.869,2.283,178.8983352587,165.0841698634,8.13696368
002440,闰土股份,13.51,1.962,6.25512,22.148,1.5,151.85238716549998,127.85315872279999,8.09034423
002497,雅化集团,19.13,3.686,4.04169,34.587,1.998,220.485210076,202.6991107495,8.06208466
601233,桐昆股份,24.24,2.886,1.39569,28.186,1.434,576.669961176,575.620546128,8.00893976
601231,环旭电子,27.35,-0.942,1.19288,32.176,2.826,653.373907933,653.373907933,7.83550567
002487,大金重工,42.1,-0.047,2.98168,24.335,3.579,311.576142429,265.61743198600004,7.78172482
603063,禾望电气,32.27,-2.123,5.2093,27.581,2.743,149.7790216118,149.16266461179998,7.72272908
603456,九洲药业,16.52,0.426,5.20551,20.146,1.636,145.6584966256,145.6584966256,7.63017379
601611,中国核建,11.88,1.625,2.1013,33.0,1.59,358.0435043856,358.0435043856,7.47241021
600428,中远海特,11.61,-2.845,2.60537,16.924,1.863,318.56915785949997,283.8976561863,7.46370478
603283,赛腾股份,43.93,-1.081,4.69632,25.103,4.347,154.8647785499,154.8647785499,7.29426148
001248,华润新能,13.19,0.076,5.20393,23.554,1.897,1757.1207362339999,140.1310600329,7.29162055
600298,安琪酵母,43.32,5.069,1.9686,24.337,3.016,375.9377486772,371.3175840372,7.20805694
603588,高能环境,14.5,2.257,3.29802,26.297,2.155,220.86899626500002,220.86899626500002,7.19251789
603379,三美股份,68.2,4.441,1.74447,20.059,4.83,416.346703234,416.346703234,7.12311318
002083,孚日股份,11.92,1.706,6.19601,25.362,2.31,112.83937023040001,112.83937023040001,6.92769328
000783,长江证券,9.01,-0.332,1.3305,14.302,1.353,498.2595726148,498.2595726148,6.60686333
603444,吉比特,393.9,2.935,2.27453,15.819,4.725,283.769896839,283.769896839,6.381975
600563,法拉电子,135.48,-0.536,2.1103,25.562,4.84,304.83,304.83,6.3417591
002074,国轩高科,28.0,1.12,1.27422,21.212,1.756,508.12309576,486.28647479999995,6.16868281
002472,双环传动,38.49,-2.011,2.12801,25.66,3.175,327.1641116508,288.1343563734,6.15568137
601865,福莱特,11.15,-5.106,2.85315,26.548,1.186,261.23118054450003,211.96434804449999,6.11072233
600338,西藏珠峰,14.33,2.945,4.69649,25.585,2.9,131.0063170744,131.0063170744,6.07747109
603619,中曼石油,22.83,1.467,5.7143,20.568,2.418,105.5518706463,105.5518706463,6.00604911
600578,京能电力,5.9,-1.338,1.51844,11.8,1.566,394.982639885,394.982639885,5.97868752
603659,璞泰来,24.43,1.369,1.10518,21.813,2.495,523.8241939525,523.8241939525,5.763748
000582,北部湾港,13.09,4.553,2.07594,29.416,1.614,329.486358432,282.3314323907,5.71811294
603606,东方电缆,38.56,-0.362,1.74742,20.843,3.761,318.04615297280003,318.04615297280003,5.56400903
603369,今世缘,28.38,4.109,1.57324,13.59,1.972,353.8418505006,353.8418505006,5.51474259
600256,广汇能源,5.78,1.94,1.44234,27.896,1.514,369.4577713192,369.4577713192,5.33313203
600888,新疆众和,10.13,0.596,3.34785,21.273,1.229,157.32760663370001,157.32760663370001,5.22101385
002555,三七互娱,19.83,0.202,1.65378,15.023,3.026,438.68673214229995,314.7732597567,5.1932904
603198,迎驾贡酒,39.94,7.8,1.62249,16.105,2.786,319.52,319.52,5.09133581
603979,金诚信,80.3,1.402,1.02655,21.413,4.376,500.90544173999996,500.90544173999996,5.08935989
002056,横店东磁,21.8,-1.802,1.42238,18.793,3.218,354.623232132,354.256890762,5.05584091
002429,兆驰股份,7.95,-2.454,1.3932,27.414,2.128,359.8917782565,359.68444511850004,5.03063183
000893,亚钾国际,48.18,-0.104,1.26829,26.315,3.204,445.20786189660004,391.12828690320003,4.98703835
000422,湖北宜化,13.59,2.955,3.44409,18.237,2.375,147.80276236080002,145.0441554408,4.96249406
002768,国恩股份,59.66,1.983,3.32939,18.82,3.777,260.47556000000003,150.4972820922,4.91486593
002832,比音勒芬,26.0,5.605,4.88384,27.083,2.59,148.38384184,101.24875383999999,4.90666291
600763,通策医疗,37.06,1.202,2.9281,33.089,3.75,165.7653467602,165.7653467602,4.86899455
002601,龙佰集团,16.55,2.097,1.45008,31.827,1.727,394.593053268,328.94826108300003,4.83495945
002237,恒邦股份,14.7,3.158,2.79643,27.222,1.56,210.205649976,175.276333176,4.82400088
601918,新集能源,10.2,3.87,1.82387,12.364,1.513,264.2352636,264.2352636,4.75602063
002624,完美世界,11.69,1.741,2.2256,29.974,3.146,226.7823064276,213.6619924929,4.70187672
603345,安井食品,85.84,0.751,1.86095,19.509,1.782,286.09521922880003,251.7637687488,4.70179372
601677,明泰铝业,17.39,2.96,2.17779,11.219,1.091,216.2082400353,216.2082400353,4.68269803
600499,科达制造,14.23,-0.21,1.65588,20.445,2.075,272.91096443929996,272.91096443929996,4.54379945
600299,安迪苏,8.59,1.657,1.69795,19.977,1.347,264.5530381763,264.5530381763,4.52056518
603179,新泉股份,37.9,-2.571,1.65665,22.831,3.56,270.68128835,270.68128835,4.49084786
000733,振华科技,41.35,-0.481,1.93528,22.347,1.454,229.14905971849998,229.11817126850002,4.40281636
002698,博实股份,13.62,-0.439,3.76392,24.558,3.296,139.272886515,114.97163986500001,4.35849013
000830,鲁西化工,12.89,0.94,1.74664,27.08,1.266,245.46672051789997,245.4483191406,4.31217288
603890,春秋电子,18.5,-3.293,5.19824,28.906,2.505,82.663857655,82.663857655,4.28364296
601001,晋控煤业,17.85,3.299,1.43971,16.376,1.528,298.75545,298.75545,4.24952962
002897,意华股份,57.24,-1.633,4.0001,34.902,3.904,110.9773103904,105.5637612612,4.23018184
601975,招商南油,3.7,-0.27,2.44262,13.484,1.445,173.172753086,173.172753086,4.22695344
002262,恩华药业,22.37,2.427,2.11418,21.305,2.713,227.23145861709997,197.70075942850002,4.19158966
002939,长城证券,8.29,1.968,1.39076,14.293,1.025,334.45399465239996,298.6604834099,4.17844479
002891,中宠股份,31.56,1.774,4.09396,25.688,3.011,101.5909286376,101.5909286376,4.16003485
000833,粤桂股份,20.53,1.533,4.51232,34.308,3.963,164.6674799713,93.1450259378,4.15124401
002841,视源股份,50.26,0.179,1.57348,33.959,2.587,351.411157517,262.0282211596,4.14299134
600839,四川长虹,6.92,1.022,1.29097,32.306,2.075,319.4441001624,319.35513726519997,4.12175856
605090,九丰能源,34.89,1.365,1.66208,15.37,2.098,246.5273383302,246.2786424102,4.0550948
600114,东睦股份,29.25,-0.578,2.24324,34.012,5.182,184.6796670225,180.2921670225,4.03592197
000683,博源化工,6.14,1.153,1.92645,24.56,1.85,228.21345778399998,204.9879384622,3.95955386
002603,以岭药业,16.87,-0.706,1.68839,21.909,2.473,281.8479969312,232.22128310079998,3.94415872
002850,科达利,180.8,-1.686,1.03886,28.031,3.787,517.688576016,379.066883696,3.9352875
002683,广东宏大,28.75,2.023,2.03542,22.636,3.109,218.46695561250002,191.6357461375,3.92941729
002518,科士达,33.3,-2.717,2.05801,31.714,3.897,193.880956302,188.195714901,3.89421291
601016,节能风电,3.57,0.563,1.79946,33.679,1.312,233.6381956818,215.56577329350003,3.85556841
600699,均胜电子,21.14,-0.283,1.30828,22.253,1.871,327.8328970182,295.04475701819996,3.85400196
603939,益丰药房,23.39,5.598,1.36906,16.949,2.381,283.5786024754,283.5786024754,3.84341593
002244,滨江集团,8.73,2.706,1.57921,12.838,0.897,271.629051597,240.734057382,3.82926879
600754,锦江酒店,19.87,4.25,2.11788,22.839,1.315,211.87350082279997,180.0309553181,3.77841965
002402,和而泰,21.48,0.0,2.13293,29.71,2.876,198.344061378,175.80920134680002,3.74495585
002258,利尔化学,14.49,2.839,3.25691,24.227,1.449,115.98335433720001,115.7966169255,3.72234283
605020,永和股份,35.66,1.336,2.07189,29.471,3.07,182.1579566218,179.3426937642,3.69047967
000887,中鼎股份,19.12,-1.086,1.45712,15.802,1.718,251.71283962639998,251.3076602496,3.68073214
002266,浙富控股,5.19,2.772,1.47038,23.591,2.142,270.8801857638,251.3301733851,3.65555096
000700,模塑科技,11.47,-2.632,3.46461,21.806,2.656,105.2963651183,105.2963651183,3.64959128
002545,东方铁塔,18.85,2.057,1.70428,19.441,2.296,234.5057026455,213.03585895799998,3.61405886
000612,焦作万方,11.7,1.739,2.60375,13.029,1.81,139.487329098,139.487329098,3.61132146
600801,华新建材,24.06,5.295,1.1313,17.562,1.522,500.2063531494,322.8124543494,3.57403592
603341,龙旗科技,37.7,1.782,3.56179,29.685,2.728,197.016672788,100.810678787,3.55049148
002444,巨星科技,30.92,2.929,1.02061,14.716,1.931,369.33265387439997,354.5686154576,3.52679824
601636,旗滨集团,6.05,-1.305,1.96673,26.454,1.198,178.998550544,178.998550544,3.49433829
000400,许继电气,22.88,0.527,1.48697,19.842,1.899,233.06077057119998,232.24701133920001,3.46022537
600312,平高电气,20.32,-0.733,1.23754,24.621,2.363,275.7264099888,275.7264099888,3.42474927
600577,精达股份,8.27,0.121,1.83536,29.536,2.963,184.57104575259999,184.57104575259999,3.35639923
002303,美盈森,5.47,2.434,6.37768,32.101,1.865,83.7634055695,52.8883938179,3.34259286
002568,百润股份,19.94,2.361,2.20991,32.161,4.16,207.69976597939998,151.9644410814,3.33886521
603236,移远通信,49.44,-0.081,1.68653,15.45,2.848,199.2198578928,199.2198578928,3.3321187
603605,珀莱雅,59.01,2.235,1.42132,15.488,3.677,233.6654665149,233.6654665149,3.31118481
002130,沃尔核材,17.23,0.0,1.6833,18.728,2.636,241.2005924726,197.6198733642,3.30655608
600863,华能蒙电,4.69,-0.636,1.0746,13.794,1.758,367.470390364,306.1110383359,3.29248387
002223,鱼跃医疗,27.55,0.768,1.249,18.615,2.023,276.1823939395,259.60180938450003,3.25339395
600546,山煤国际,13.28,1.997,1.22685,22.508,1.576,263.270175392,263.270175392,3.20815202
002947,恒铭达,57.55,-2.886,2.76846,27.668,4.552,147.195022668,114.12380697399999,3.17167599
002611,东方精工,16.14,-0.799,1.95979,26.459,2.073,196.4699455512,162.03953136,3.16476001
603556,海兴电力,25.49,2.287,2.54596,16.881,1.662,123.94873693299999,123.94873693299999,3.14018015
002539,云图控股,12.79,3.731,2.7499,18.536,1.59,154.4678691598,113.80460463749999,3.12407288
603766,隆鑫通用,13.9,1.017,1.06278,17.375,2.957,285.44231715,285.44231715,3.02286255
600216,浙江医药,12.41,1.141,2.54036,13.637,1.062,119.33924477500001,118.06743384750001,3.01301429
