code,name,rev25,rev24,rev_g,np25,np24,np_g,roe25,ocf25,ocf_ratio
601677,明泰铝业,35135280828.74,32320871928.72,8.707713412642004,1959958704.81,1748479011.62,12.095066156616884,10.101822844536697,1438277161.62,0.7338303394302523
000933,神火股份,41240761541.38,38372663537.44,7.474326094516748,4005359185.05,4306779295.81,-6.998735947608159,14.179742006554463,8743217687.83,2.18287980774959
000612,焦作万方,6494970140.46,6465185298.11,0.46069588073072154,1071123219.17,588697754.52,81.9479029681963,14.895975510341513,1005955555.71,0.9391595081745147
600096,云天化,48414923741.78,61654338924.1,-21.473614693393227,5156043643.98,5337308422.59,-3.3961833242164285,19.38728505007037,9087217375.51,1.7624399642388384
000807,云铝股份,60042935758.93,54450459133.32,10.270761192145361,6054686552.59,4411670800.53,37.242483094219445,17.097570564728358,8432323187.1,1.39269359592082
002532,天山铝业,29502154897.93,28089427344.57,5.029392504269392,4817847502.12,4455407938.46,8.134823312840723,16.296731713822197,8052843035.14,1.6714607574433404
002539,云图控股,21399878912.8,20379567835.96,5.006539319443504,827079355.89,804467316.48,2.8108089597648878,8.681541787147227,1256667830.11,1.5194041794910118
000582,北部湾港,7613959063.58,7003254738.88,8.720292884814684,1038024485.4,1219079731.96,-14.851796959080342,4.839544707577805,3063130247.29,2.950922921735927
002237,恒邦股份,112394440038.95,75800749914.77,48.27615843553759,637653078.17,551856028.56,15.546998704331783,4.845635659167077,-2004810606.38,-3.1440459946239177
002698,博实股份,2828078579.62,2862689438.16,-1.2090329491782459,563756408.99,524225526.98,7.540815922820965,12.956290635306841,397641133.2,0.7053421067308051
600309,万华化学,203234573814.42,182069119160.94,11.62495581404488,12527201094.15,13033066612.84,-3.8814005461433654,10.428146225267273,33105189455.82,2.6426644872236933
002648,卫星化学,46067886132.18,45648350054.6,0.9190607701662801,5310687058.76,6071835708.47,-12.535725376235462,15.817980361530823,9606885402.76,1.8089722283510197
600196,复星医药,41661612748.15,41067195862.59,1.44742506293567,3370561562.61,2769886631.39,21.685903112885384,5.450424473200105,5213226878.35,1.5466938613971284
600216,浙江医药,8880602021.78,9375216922.05,-5.275770196918761,873380229.2,1160510670.41,-24.741732112515514,7.876047959187335,1885768711.27,2.1591612086265437
002517,恺英网络,5324977767.36,5118192932.04,4.040192272267085,1903626612.4,1628471564.05,16.896521525109787,19.22876702283346,2262661914.88,1.1886059483205826
000878,云南铜业,179542025925.73,171310592926.08,4.804976072438127,1301457814.51,1404101815.75,-7.310296168598917,6.612130091040591,-3766163441.81,-2.893803702141482
002432,九安医疗,1365588936.68,2592196225.39,-47.31922979810121,2266748271.38,1668727334.63,35.83694737538392,10.287075844385615,-166803216.9,-0.07358700522949993
000596,古井贡酒,18831982591.24,23577928065.99,-20.128763907782854,3549108530.34,5517251073.1,-35.67252091092805,13.596033622432948,1947212977,0.548648473371272
600595,中孚实业,23068419436.77,22761267690.25,1.3494492077502862,1617293286.14,703685462.34,129.83184571725198,9.466734065459438,1179993235.24,0.7296099262591352
603556,海兴电力,4768672189.1,4717025665.84,1.0948959560262095,729096299,1002037975.68,-27.238655949618785,9.854060571687691,528305915.49,0.7246037542840414
601958,金钼股份,13834275518.74,13570698080.87,1.9422540852305215,3154805423.48,2982577897.11,5.774451910774281,15.651826327342702,1627947057.01,0.5160213827749306
600737,中粮糖业,26510979601.63,32497400661.77,-18.421230431461666,951225734.55,1713347191.26,-44.48143730574151,8.147972705633725,1287693122.07,1.3537198115010776
600711,盛屯矿业,30002676485.18,25730460453.8,16.60372941654473,1961420763.2,2005394698.48,-2.192782064963583,11.05289436506571,2591717457.14,1.3213470081308252
603456,九洲药业,5508595171.33,5160584725.38,6.743624307502749,730073370.43,606096350.9,20.45500180720523,8.30516130582567,1824246221.93,2.498716287728112
601600,中国铝业,241125217000,237109210000,1.6937372445380738,12673918000,12394500000,2.254370890314261,10.340006732877676,34092341000,2.68996067356598
