code,name,chg_today,chg_60d,chg_ytd,up,down,leader,leader_code,turnover
BK1417,纯碱,-0.61,-14.27,-10.89,1,4,山东海化,000822,2.03
BK1220,广告营销,-0.71,-14.25,-6.38,8,21,三人行,605168,4.54
BK1428,其他化学制品,-0.87,-14.15,1.94,21,57,日科化学,300214,3.34
BK1442,炭黑,-0.19,-14.12,-13.1,2,4,联科科技,001207,2.79
BK0910,专用设备,-0.14,-14.11,-4.48,66,132,同力天启,605286,2.11
BK1248,专业工程,-0.86,-14.1,-2.58,10,28,海波重科,300517,1.3
BK1237,自动化设备,0.21,-14.1,9.92,45,47,凯迪股份,605288,3.15
BK1475,国际工程,-1.05,-14.08,-15.04,0,4,中材国际,600970,1.04
BK1420,其他化学原料,-1.13,-13.98,-7.74,2,16,ST兴化,002109,1.24
BK1532,金属包装,-1.57,-13.97,1.3,1,6,华源控股,002787,2.16
BK1445,安防设备,0.36,-13.92,0.27,12,14,汉邦高科,300449,1.58
BK1338,消费电子零部件及组装,-0.11,-13.86,3.73,32,53,昀冢科技,688260,2.11
BK1045,房地产服务,-0.7,-13.86,-14.89,1,12,ST明诚,600136,1.83
BK1502,林业Ⅲ,1.07,-13.82,-22.76,2,2,*ST景谷,600265,3.96
BK1255,林业Ⅱ,1.07,-13.82,-22.76,2,2,*ST景谷,600265,3.96
BK0476,装修建材,-0.68,-13.75,-5.82,9,27,华立股份,603038,1.53
BK1252,化妆品,-1.13,-13.63,-14.68,6,10,锦盛新材,300849,2.09
BK1457,厨房小家电,-0.63,-13.54,-12.62,3,7,爱仕达,002403,0.76
BK1546,电商服务,-0.18,-13.52,3.25,2,6,若羽臣,003010,3.0
BK1535,纸包装,-1.05,-13.48,-13.68,4,16,上海艾录,301062,2.1
BK1527,轮胎轮毂,-0.58,-13.47,-18.38,5,16,海安集团,001233,1.33
BK1513,海洋捕捞,-0.94,-13.42,-22.73,0,2,中  鲁Ｂ,200992,1.49
BK1209,建筑装饰,-0.14,-13.42,-6.36,54,100,宝鹰股份,002047,1.13
BK1402,楼宇设备,1.14,-13.34,-8.48,8,6,同力天启,605286,1.19
BK1319,硅料硅片,1.99,-13.33,-0.31,3,2,华民股份,300345,3.37
BK1288,金属新材料,-2.07,-13.33,3.08,4,32,云路股份,688190,2.97
BK1409,激光设备,-0.52,-13.31,62.58,5,5,杰普特,688025,3.56
BK1299,影视动漫制作,2.18,-13.29,-15.81,8,6,北京文化,000802,4.29
BK1207,计算机,-0.17,-13.28,-10.71,120,229,天融信,002212,3.16
BK1455,家电零部件Ⅲ,-0.07,-13.17,-4.08,11,24,宏昌科技,301008,2.78
BK1242,家电零部件Ⅱ,-0.07,-13.17,-4.08,11,24,宏昌科技,301008,2.78
BK1205,机械设备,-0.14,-13.16,-1.5,216,386,蓝盾光电,300862,2.27
BK1331,数字芯片设计,0.52,-13.12,22.85,25,26,联芸科技,688449,3.95
BK1472,基建市政工程,-0.55,-13.09,-13.64,8,20,*ST正平,603843,0.6
BK1486,仓储物流,-0.83,-13.08,-13.25,0,5,恒基达鑫,002492,0.78
BK1289,大众出版,-1.02,-13.08,-8.22,4,14,新经典,603096,1.1
BK0728,环保,-0.29,-13.05,2.94,36,94,联泰环保,603797,1.72
BK1274,炼化及贸易,-0.8,-12.99,-0.41,4,25,中国石油,601857,0.29
BK1405,其他专用设备,-0.2,-12.98,-0.15,30,59,巨轮智能,002031,3.36
BK1336,其他电子Ⅲ,0.06,-12.97,12.55,15,18,洁美科技,002859,4.78
BK1223,其他电子Ⅱ,0.06,-12.97,12.55,15,18,洁美科技,002859,4.78
BK1515,粮食种植,-1.06,-12.94,-11.62,0,2,苏垦农发,601952,0.89
BK1468,其他建材Ⅲ,0.04,-12.94,1.37,7,9,华立股份,603038,1.86
BK1413,涤纶,-1.34,-12.93,-19.1,1,9,*ST三房,600370,0.84
BK1520,综合乘用车,-1.05,-12.91,-33.61,0,6,海马汽车,000572,0.47
BK1240,厨卫电器,-1.03,-12.87,-16.69,2,7,浙江美大,002677,1.34
BK1382,地面兵装Ⅲ,-2.81,-12.83,-17.08,0,12,ST应急,300527,2.81
BK1229,地面兵装Ⅱ,-2.81,-12.83,-17.08,0,12,ST应急,300527,2.81
BK1398,其他通用设备,-0.42,-12.82,-5.01,19,38,磁谷科技,688448,3.24
BK1378,其他能源发电,-0.44,-12.78,-6.12,0,2,长青集团,002616,0.62
BK1356,其他饰品,-0.07,-12.63,-7.07,1,1,ST瑞贝卡,600439,1.88
BK0545,通用设备,-0.1,-12.63,-0.98,92,157,蓝盾光电,300862,3.57
BK1471,工程咨询服务Ⅲ,-0.45,-12.5,-7.64,12,34,太极实业,600667,4.45
BK0726,工程咨询服务Ⅱ,-0.45,-12.5,-7.64,12,34,太极实业,600667,4.45
BK0440,家居用品,-0.56,-12.49,-10.01,21,55,丰林集团,601996,1.74
BK0739,工程机械,-0.99,-12.46,-10.0,8,26,华东重机,002685,1.47
BK1548,综合电商,-1.5,-12.41,-24.37,0,2,ST易购,002024,0.23
BK1235,环境治理,-0.4,-12.4,0.34,26,78,联泰环保,603797,1.44
BK1506,农业综合Ⅲ,-1.31,-12.35,-20.07,0,3,辉隆股份,002556,1.26
