code,name,chg_today,chg_60d,chg_ytd,up,down,leader,leader_code,turnover
BK1423,纺织化学制品,-0.27,-5.74,16.52,4,9,亚邦股份,603188,3.73
BK1500,医美耗材,-0.16,-5.71,-25.86,1,2,锦波生物,920982,1.32
BK1551,百货,-0.2,-5.63,-22.51,6,12,供销大集,000564,1.53
BK1210,交通运输,-0.71,-5.57,-9.05,29,101,大众交通,600611,0.71
BK1484,公交,1.64,-5.55,-15.5,5,2,大众交通,600611,5.45
BK1524,汽车综合服务,0.33,-5.52,5.5,1,1,浩物股份,000757,1.6
BK1616,白银,-3.22,-5.47,21.61,1,2,湖南白银,002716,15.08
BK1272,旅游及景区,-0.2,-5.35,-18.72,9,17,*ST西旅,000610,1.55
BK1344,产业地产,-0.23,-5.11,-15.67,4,9,市北高新,600604,0.9
BK1372,冶钢辅料,-1.07,-5.08,7.91,1,3,鄂尔多斯,600295,0.94
BK1562,人工景区,-0.18,-5.07,-18.08,1,4,大连圣亚,600593,1.14
BK1489,快递,-0.59,-4.97,11.4,1,3,圆通速递,600233,0.66
BK1586,软饮料,-1.05,-4.95,-1.65,1,7,欢乐家,300997,2.03
BK1480,机场,-0.81,-4.89,-19.61,0,5,深圳机场,000089,0.6
BK1485,铁路运输,-0.03,-4.85,-6.51,2,5,三羊马,001317,0.4
BK1271,酒店餐饮,-0.56,-4.75,-12.59,1,8,全 聚 德,002186,2.74
BK1604,医疗耗材,-0.47,-4.71,-1.05,17,38,海圣医疗,920166,2.2
BK1626,稀土,-4.81,-4.69,19.27,0,4,北方稀土,600111,3.92
BK1282,饮料乳品,0.06,-4.64,-7.96,7,20,皇氏集团,002329,1.96
BK1430,涂料油墨,0.93,-4.63,9.28,7,9,百合花,603823,3.77
BK1585,乳品,0.53,-4.59,-10.62,6,13,皇氏集团,002329,1.94
BK1503,果蔬加工,0.48,-4.47,4.5,2,4,朗源股份,300175,2.41
BK1253,医疗美容,-0.12,-4.33,-20.03,1,2,锦波生物,920982,1.06
BK1563,自然景区,-0.44,-4.19,-10.97,4,9,长白山,603099,1.91
BK1036,半导体,-0.48,-4.1,39.81,60,119,联芸科技,688449,4.35
BK0740,教育,-1.22,-4.08,-14.16,3,12,科德教育,300192,3.08
BK1365,租赁,-0.99,-3.81,-6.32,1,2,海南华铁,603300,0.74
BK1580,肉制品,-0.22,-3.75,-13.48,2,5,金字火腿,002515,1.89
BK0421,铁路公路,-0.04,-3.56,-7.42,12,23,大众交通,600611,0.63
BK1615,铜,-4.1,-3.27,-1.23,0,17,精艺股份,002295,3.44
BK1560,酒店,-0.65,-3.2,-7.55,0,6,锦江Ｂ股,900934,3.32
BK1290,教育出版,-1.18,-3.18,-8.1,1,9,浙版传媒,601921,0.7
BK1329,集成电路制造,0.37,-3.08,19.42,2,6,芯联集成-U,688469,3.77
BK1239,白色家电,-0.62,-3.08,-15.81,2,10,海信家电,000921,0.55
BK1481,港口,-0.87,-3.08,-1.24,1,16,招港B,201872,0.36
BK1538,瓷砖地板,-1.21,-3.0,9.16,1,10,海象新材,003011,1.66
BK1349,棉纺,-0.92,-2.93,-3.9,1,7,凤竹纺织,600493,1.95
BK1203,非银金融,-0.67,-2.87,-13.15,10,69,仁东控股,002647,0.6
BK1380,水力发电,-0.25,-2.85,15.95,5,6,电投水电,600292,0.49
BK1027,小金属,-3.95,-2.65,24.89,0,26,华阳新材,600281,5.12
BK1483,高速公路,-0.67,-2.62,-4.78,5,16,山东高速,600350,0.59
BK1259,养殖业,-0.65,-2.62,-8.3,4,18,益生股份,002458,2.06
BK0450,航运港口,-1.57,-2.5,3.09,3,34,海航科技,600751,0.76
BK1295,其他数字媒体,0.46,-2.45,36.4,2,0,风语筑,603466,7.25
BK1482,航运,-2.17,-2.42,4.78,2,18,海航科技,600751,1.48
BK1512,生猪养殖,-1.23,-2.4,-12.16,1,10,京基智农,000048,1.43
BK1576,调味发酵品Ⅲ,-1.21,-2.3,-2.59,1,14,安记食品,603696,2.85
BK1278,调味发酵品Ⅱ,-1.21,-2.3,-2.59,1,14,安记食品,603696,2.85
BK1501,动物保健Ⅲ,-1.65,-2.21,-6.61,1,11,回盛生物,300871,1.18
BK1254,动物保健Ⅱ,-1.65,-2.21,-6.61,1,11,回盛生物,300871,1.18
BK1498,品牌化妆品,-0.71,-2.12,-9.59,2,6,拉芳家化,603630,2.0
BK1499,医美服务,0.0,-2.03,-3.44,0,0,*ST美谷,000615,0.85
BK1347,纺织鞋类制造,5.83,-1.96,-25.92,1,0,华利集团,300979,0.55
BK1595,原料药,0.1,-1.68,5.26,16,27,科源制药,301281,3.24
BK1575,白酒Ⅲ,-1.17,-1.08,-20.69,2,18,金徽酒,603919,1.19
BK1277,白酒Ⅱ,-1.17,-1.08,-20.69,2,18,金徽酒,603919,1.19
BK1552,超市,0.79,-0.98,-20.42,5,2,步步高,002251,3.41
BK1397,磨具磨料,-1.13,-0.9,29.31,2,12,金太阳,300606,5.17
BK1511,肉鸡养殖,0.04,-0.86,2.57,2,6,益生股份,002458,6.05
BK1569,炼油化工,-1.41,-0.82,3.65,1,9,中国石油,601857,0.22
BK1345,商业地产,0.04,-0.72,-1.41,6,5,陆家嘴,600663,0.8
BK0465,化学制药,0.3,-0.66,-0.23,72,79,哈药股份,600664,4.38
BK0546,玻璃玻纤,-0.53,-0.4,25.58,3,12,国际复材,301526,3.87
BK1594,化学制剂,0.38,-0.29,-2.24,56,52,哈药股份,600664,4.69
BK1612,农商行Ⅲ,-0.55,-0.21,-3.76,2,8,渝农商行,601077,0.77
BK1216,医药生物,0.36,-0.17,0.08,220,273,百花医药,600721,3.51
BK1321,火电设备,1.96,-0.06,-8.88,3,1,龙源技术,300105,3.38
BK1607,医药流通,0.51,0.47,-8.63,15,7,开开实业,600272,3.29
BK1424,氟化工,-2.33,0.67,6.76,0,10,永太科技,002326,4.18
BK1340,印制电路板,-0.71,0.87,54.82,13,32,科翔股份,300903,6.3
BK1608,中药Ⅲ,0.31,1.22,-2.25,24,41,振东制药,300158,2.91
BK1040,中药Ⅱ,0.31,1.22,-2.25,24,41,振东制药,300158,2.91
BK1044,生物制品,0.75,1.23,0.17,31,27,甘李药业,603087,2.23
BK1358,保险Ⅲ,-1.64,1.25,-18.86,0,5,中国人保,601319,0.29
BK0474,保险Ⅱ,-1.64,1.25,-18.86,0,5,中国人保,601319,0.29
BK1521,摩托车,-0.4,1.27,-6.64,3,6,征和工业,003033,0.64
BK1557,培训教育,-1.22,1.41,1.69,3,8,科德教育,300192,3.74
BK1328,集成电路封测,-0.97,1.51,38.07,0,12,甬矽电子,688362,6.39
BK1042,医药商业,1.74,1.58,-6.92,23,7,老百姓,603883,3.59
BK0732,贵金属,-5.05,1.64,28.06,1,12,湖南白银,002716,7.34
BK1366,证券Ⅲ,-0.56,1.68,-9.91,5,43,国盛证券,002670,0.64
BK0473,证券Ⅱ,-0.56,1.68,-9.91,5,43,国盛证券,002670,0.64
BK0437,煤炭,0.07,1.71,17.3,19,12,新大洲A,000571,1.42
BK1263,摩托车及其他,-0.34,2.29,-9.11,5,15,九号公司-WD,689009,1.22
BK1283,银行,-0.24,2.65,0.13,12,26,厦门银行,601187,0.22
BK0475,银行Ⅱ,-0.24,2.65,0.13,12,26,厦门银行,601187,0.22
BK1522,其他运输设备,-0.28,3.03,-11.72,2,9,九号公司-WD,689009,2.73
BK1609,城商行Ⅲ,-0.2,3.29,5.51,4,11,厦门银行,601187,0.44
BK1623,钼,-4.42,3.35,38.26,0,3,国城矿业,000688,2.52
BK0459,元件,-0.19,3.45,56.62,25,39,达利凯普,301566,7.33
BK1617,黄金,-5.59,3.53,27.56,0,10,恒邦股份,002237,5.27
BK1610,股份制银行Ⅲ,-0.53,3.62,-4.92,1,7,招商银行,600036,0.3
BK1611,国有大型银行Ⅲ,0.59,3.89,-1.07,5,0,中国银行,601988,0.14
BK1494,焦煤,0.29,3.98,20.96,5,4,山西焦煤,000983,1.46
BK1493,动力煤,-0.28,4.04,28.15,10,7,新大洲A,000571,1.33
BK1250,煤炭开采,-0.07,4.15,25.38,15,11,新大洲A,000571,1.37
BK1606,线下药店,5.44,4.74,2.13,8,0,老百姓,603883,5.13
BK1602,诊断服务,-0.66,5.19,7.57,2,3,金域医学,603882,6.24
BK1596,其他生物制品,0.95,5.49,4.79,23,16,甘李药业,603087,3.38
BK1325,半导体材料,-2.23,5.65,73.07,4,27,清溢光电,688138,6.81
BK1462,玻纤制造,-0.69,6.92,100.38,2,6,国际复材,301526,6.48
BK1625,钨,-5.64,7.81,111.7,0,4,翔鹭钨业,002842,7.32
BK1450,空调,0.27,8.13,9.82,2,2,海信家电,000921,0.48
BK1339,被动元件,1.14,8.77,58.57,12,7,达利凯普,301566,10.53
BK1412,氨纶,-2.54,9.86,5.87,0,1,华峰化学,002064,0.79
BK1326,半导体设备,-1.96,14.32,88.79,4,21,托伦斯,301583,3.27
BK0727,医疗服务,0.91,14.6,20.19,25,27,百花医药,600721,4.79
BK1565,会展服务,-3.01,14.97,0.32,0,3,锋尚文化,300860,4.13
BK1348,辅料,-1.69,17.61,6.75,1,3,伟星股份,002003,2.11
BK1600,医疗研发外包,3.1,33.89,42.83,21,8,百花医药,600721,8.65
